d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
36089,Cerro de San Miguel,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7138,Urbano,05
36089,Cerro del Gallo,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7141,Urbano,05
36089,Pozuelos,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7182,Urbano,05
36090,Pastita,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,0021,Urbano,05
36090,Zapote,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,4426,Urbano,05
36090,Cerro de los Leones,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,4432,Urbano,05
36090,Cerro de la Bolita,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7132,Urbano,05
36093,Peñolera,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,4435,Urbano,05
36093,Cerro de Guijas,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7131,Urbano,05
36093,Peñafiel,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7179,Urbano,05
36094,Universitario,Fraccionamiento,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,21,015,4437,Urbano,05
36094,Paseo de La Presa,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,4763,Urbano,05
36094,Lomas de Zaragoza,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,6157,Urbano,05
36094,El Saucillo,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7153,Urbano,05
36094,Embajadoras,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7154,Urbano,05
36094,La Bufa,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7163,Urbano,05
